clean_text,sentimen
jujur gue jadi bingung mau mihak siapa ruu tni banyak dikira indonesia bakal kayak zaman seoharto efisiensi dinilai banyak mencetak pengangguran masalah anak abah lah korupsi masalah ipl kyk cape anj kelar muter trus,0
ruu tni kebut loh ibu ketua benar bicara ibu,0
giliran ruu tni cepet apalah dpr gak bubarin gimana,0
menkum menanggapi kekhawatiran mahasiswa dwifungsi tni ruu sedang dibahas kanwilkemenkumjogja kanwilkemenkumdiy kanwilkemenkumyogyakarta kementerianhukum layananhukummakinmudah aksinyatasejahtera capaiankemenkum,1
sebelumnya menkum berdialog mahasiswa universitas trisakti gerbang pancasila dpr menyampaikan penolakan ruu tni kanwilkemenkumjogja kanwilkemenkumdiy kanwilkemenkumyogyakarta kementerianhukum layananhukummakinmudah aksinyatasejahtera capaiankemenkum,1
sebelumnya menkum berdialog mahasiswa universitas trisakti gerbang pancasila dpr menyampaikan penolakan ruu tni kanwilkemenkumjogja kanwilkemenkumdiy kanwilkemenkumyogyakarta kementerianhukum layananhukummakinmudah aksinyatasejahtera capaiankemenkum,1
menkum supratman berdialog mahasiswa trisakti ruu tni kanwilkemenkumjogja kanwilkemenkumdiy kanwilkemenkumyogyakarta kementerianhukum layananhukummakinmudah aksinyatasejahtera capaiankemenkum,1
ngehormati anak keracunan mbg warga sipil bunuh timor leste wakilnya menghormati konstitusi menghormati kedaulatan rakyat pengen ruu tni disahkan buka mata lu liat semua perbuatan sebanding sama perbuatan anak,0
ruu tni dibatalkan konsepsi kembalu uud asli sama sekali berbeda mengembalukan dwi fungsi militer eksistensi tni memang dibutuhkan negara berdaulat bukan caranya mengembalikan martabat tni dinegeri bukan anti militer,0
apa komen nya ttg uu tni ruu polri ruu kejaksaan bunyi dong bila bukan kader militan,0
rekap kasus penangkapan pemerintah akibat kritik medsos mahasiswi itb ditangkap unggah meme satir prabowojokowi berciuman kritik ruu tni dijerat pasal a uu ite padahal meme adlh kebebasan berekspresi daniel frits aktivis karimunjawa,1
jadi keinget pas revisi uu tni emang dikira tanda tangan bingkisan orang sama ama koar koar tolak ruu tni,0
revisi ruu tni langkah strategis memperkuat memperkuat profesionalisme,1
tampaknya owo mengikuti gurunya mulai memakai pembungkaman suara kritis dgn menggunakan hukum buktinyakabar mahasiswi itb bikin meme owi kiss owo sbg bentuk kritik thd ruu tni subtansinya owi owo mesra saling melanjutkan ruu berpihak rakyat merusak reformasi,1
tak tergesagesa ndasmu ruu tni dikebut kayak kejar setoran,0
giliran ruu tni bahasnya ngebut kaya motogp kocak lu,1
ruu perampasan aset kirim tni palestina perdamaian,1
sebelumnya bulan maret tepat ruu tni disahkan warga didatangi anggota tni koramil tayu intimidasi kesekian kalinya,1
namanya suap bego makanya dibilang buzzer sama org menghalangi demo ruu tni mrk disuap setuju pdhl mrk sendiri gapaham isi ruu tni lol males ah gue debat sama calon penyuap koruptor,0
ruu tni apa namanya kalo bukan tergesa gesa munafikkkkkkk,0
ruu tni berprinsip demokrasi,1
dimulai presiden wakil beserta tetek bengeknya pejabat asn tni polri kaum diluar semua jadi pemirsa tolak ruu kejaksaan amp kuhap cabut uu tni sahkan uu perampasan aset koruptor,0
giliran ruu tni cepet banget tuh gue liatliat,0
giliran ruu tni malah pake sistem kebut semalem,0
